14710  | 10.10.10.125 -> 162.159.61.3 |  TCP: 50516 -> 443  |PAYLOAD  -> IP / TCP 10.10.10.125:50516 > 162.159.61.3:https A LEN -> 66 TIME -> 1712174175.828899 ID -> 0  | 18:3e:ef:da:c7:26 c0:ea:e4:1b:3a:38 

14711  | 10.10.10.125 -> 162.159.61.3 |  TCP: 50516 -> 443  |PAYLOAD  -> IP / TCP 10.10.10.125:50516 > 162.159.61.3:https A LEN -> 66 TIME -> 1712174175.828924 ID -> 0  | 18:3e:ef:da:c7:26 c0:ea:e4:1b:3a:38 

14712  | 10.10.10.125 -> 162.159.61.3 |  TCP: 50519 -> 443  |PAYLOAD  -> IP / TCP 10.10.10.125:50519 > 162.159.61.3:https FA LEN -> 66 TIME -> 1712174175.829273 ID -> 0  | 18:3e:ef:da:c7:26 c0:ea:e4:1b:3a:38 

14713  | 10.10.10.125 -> 162.159.61.3 |  TCP: 50516 -> 443  |PAYLOAD  -> IP / TCP 10.10.10.125:50516 > 162.159.61.3:https FA LEN -> 66 TIME -> 1712174175.82942 ID -> 0  | 18:3e:ef:da:c7:26 c0:ea:e4:1b:3a:38 

14714  | 40.97.199.114 -> 10.10.10.125 |  TCP: 443 -> 50602  |PAYLOAD  -> IP / TCP 40.97.199.114:https > 10.10.10.125:50602 A LEN -> 66 TIME -> 1712174175.833733 ID -> 649  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14715  | 162.159.61.3 -> 10.10.10.125 |  TCP: 443 -> 50523  |PAYLOAD  -> IP / TCP 162.159.61.3:https > 10.10.10.125:50523 PA / Raw LEN -> 105 TIME -> 1712174175.842202 ID -> 24731  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14716  | 162.159.61.3 -> 10.10.10.125 |  TCP: 443 -> 50523  |PAYLOAD  -> IP / TCP 162.159.61.3:https > 10.10.10.125:50523 FA LEN -> 66 TIME -> 1712174175.84221 ID -> 24732  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14717  | 10.10.10.125 -> 162.159.61.3 |  TCP: 50523 -> 443  |PAYLOAD  -> IP / TCP 10.10.10.125:50523 > 162.159.61.3:https A LEN -> 66 TIME -> 1712174175.842378 ID -> 0  | 18:3e:ef:da:c7:26 c0:ea:e4:1b:3a:38 

14718  | 10.10.10.125 -> 162.159.61.3 |  TCP: 50523 -> 443  |PAYLOAD  -> IP / TCP 10.10.10.125:50523 > 162.159.61.3:https A LEN -> 66 TIME -> 1712174175.842466 ID -> 0  | 18:3e:ef:da:c7:26 c0:ea:e4:1b:3a:38 

14719  | 162.159.61.3 -> 10.10.10.125 |  TCP: 443 -> 50519  |PAYLOAD  -> IP / TCP 162.159.61.3:https > 10.10.10.125:50519 A LEN -> 66 TIME -> 1712174175.87816 ID -> 0  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14720  | 162.159.61.3 -> 10.10.10.125 |  TCP: 443 -> 50516  |PAYLOAD  -> IP / TCP 162.159.61.3:https > 10.10.10.125:50516 A LEN -> 66 TIME -> 1712174175.878169 ID -> 0  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14721  | 40.97.199.114 -> 10.10.10.125 |  TCP: 443 -> 50602  |PAYLOAD  -> IP / TCP 40.97.199.114:https > 10.10.10.125:50602 PA / Raw LEN -> 590 TIME -> 1712174175.885766 ID -> 650  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14722  | 40.97.199.114 -> 10.10.10.125 |  TCP: 443 -> 50602  |PAYLOAD  -> IP / TCP 40.97.199.114:https > 10.10.10.125:50602 PA / Raw LEN -> 204 TIME -> 1712174175.885776 ID -> 651  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14723  | 40.97.199.114 -> 10.10.10.125 |  TCP: 443 -> 50602  |PAYLOAD  -> IP / TCP 40.97.199.114:https > 10.10.10.125:50602 PA / Raw LEN -> 286 TIME -> 1712174175.885778 ID -> 652  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14724  | 40.97.199.114 -> 10.10.10.125 |  TCP: 443 -> 50602  |PAYLOAD  -> IP / TCP 40.97.199.114:https > 10.10.10.125:50602 PA / Raw LEN -> 298 TIME -> 1712174175.88578 ID -> 653  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14725  | 40.97.199.114 -> 10.10.10.125 |  TCP: 443 -> 50602  |PAYLOAD  -> IP / TCP 40.97.199.114:https > 10.10.10.125:50602 PA / Raw LEN -> 407 TIME -> 1712174175.885783 ID -> 654  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14726  | 40.97.199.114 -> 10.10.10.125 |  TCP: 443 -> 50602  |PAYLOAD  -> IP / TCP 40.97.199.114:https > 10.10.10.125:50602 PA / Raw LEN -> 139 TIME -> 1712174175.885785 ID -> 655  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14727  | 40.97.199.114 -> 10.10.10.125 |  TCP: 443 -> 50602  |PAYLOAD  -> IP / TCP 40.97.199.114:https > 10.10.10.125:50602 PA / Raw LEN -> 114 TIME -> 1712174175.885786 ID -> 656  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14728  | 40.97.199.114 -> 10.10.10.125 |  TCP: 443 -> 50602  |PAYLOAD  -> IP / TCP 40.97.199.114:https > 10.10.10.125:50602 PA / Raw LEN -> 114 TIME -> 1712174175.885788 ID -> 657  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14729  | 40.97.199.114 -> 10.10.10.125 |  TCP: 443 -> 50602  |PAYLOAD  -> IP / TCP 40.97.199.114:https > 10.10.10.125:50602 PA / Raw LEN -> 104 TIME -> 1712174175.885789 ID -> 658  | c0:ea:e4:1b:3a:38 18:3e:ef:da:c7:26 

14730  | 10.10.10.125 -> 40.97.199.114 |  TCP: 50602 -> 443  |PAYLOAD  -> IP / TCP 10.10.10.125:50602 > 40.97.199.114:https A LEN -> 66 TIME -> 1712174175.885971 ID -> 0  | 18:3e:ef:da:c7:26 c0:ea:e4:1b:3a:38 

14731  | 10.10.10.125 -> 40.97.199.114 |  TCP: 50602 -> 443  |PAYLOAD  -> IP / TCP 10.10.10.125:50602 > 40.97.199.114:https PA / Raw LEN -> 1040 TIME -> 1712174175.896088 ID -> 0  | 18:3e:ef:da:c7:26 c0:ea:e4:1b:3a:38 

14732  | 10.10.10.125 -> 40.97.199.114 |  TCP: 50602 -> 443  |PAYLOAD  -> IP / TCP 10.10.10.125:50602 > 40.97.199.114:https PA / Raw LEN -> 1438 TIME -> 1712174175.896347 ID -> 0  | 18:3e:ef:da:c7:26 c0:ea:e4:1b:3a:38 

14733  | 10.10.10.117 -> 224.0.0.251 |  UDP: 5353 -> 5353  |PAYLOAD  -> IP / UDP / DNS Qry "b'BRW1CBFC0F3D9DC.local.'"  LEN -> 81 TIME -> 1712174175.918643 ID -> 22762  | 6c:94:66:50:7a:1c 01:00:5e:00:00:fb 

14734  | 10.10.10.117 -> 224.0.0.251 |  UDP: 5353 -> 5353  |PAYLOAD  -> IP / UDP / DNS Qry "b'BRW1CBFC0F3D9DC.local.'"  LEN -> 81 TIME -> 1712174175.918652 ID -> 22763  | 6c:94:66:50:7a:1c 01:00:5e:00:00:fb 

